HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
549,111Xi  Psc,11559,,654,01 53 33.3,+03 11 15,4.62,0.94,K0III,*
550,Tau2Hyi,11604,,,01 47 46.5,-80 10 36,6.06,0.34,F0IV,
551,,11613,,,01 54 53.8,+40 42 07,6.24,1.25,K2,*
552,,11624,,,01 54 57.5,+37 07 42,6.26,1.17,K0,
553,6Bet Ari,11636,,658,01 54 38.4,+20 48 29,2.64,0.13,A5V,*
554,,11643,,,01 53 23.2,-38 35 41,6.10,1.12,K1II,
555,Psi Phe,11695,,Psi Phe,01 53 38.8,-46 18 09,4.41,1.59,M4III,*
556,,11727,1534,,01 55 54.4,+37 16 40,5.89,1.63,gM0,*
557,56    And,11749,1534,,01 56 09.3,+37 15 06,5.67,1.06,K0III,*
558,Phi Phe,11753,,,01 54 22.0,-42 29 49,5.11,-0.06,A3V,*
559,7    Ari,11763,,RR Ari,01 55 51.0,+23 34 38,5.74,1.19,K1III,*
560,,11803,1538,667,01 55 53.8,+01 50 59,6.01,0.56,F7V+G0V,*
561,,11857,,678,01 58 33.3,+61 41 53,6.02,-0.04,B5III,*
562,,11905,,,01 57 56.4,+41 41 40,6.78,-0.06,B8III,*
563,8Iot Ari,11909,,,01 57 21.1,+17 49 03,5.10,0.92,K1p,*
564,,11928,,,01 57 43.8,+27 48 16,5.82,1.60,M2III,
565,56    Cet,11930,,,01 56 40.2,-22 31 37,4.85,1.42,K4III,
